,vacance_name,salary_min,salary_max,salary_curr,href,source
0,Data scientist,200000.0,240000.0,руб.,https://hh.ru/vacancy/74376536?from=vacancy_search_list&query=Data+scientist,http://www.astorsoft.ru
1,Data Scientist,160000.0,200000.0,руб.,https://hh.ru/vacancy/76925483?from=vacancy_search_list&query=Data+scientist,http://www.7rlines.com
2,Data Scientist (Middle+),170000.0,240000.0,руб.,https://hh.ru/vacancy/76810036?from=vacancy_search_list&query=Data+scientist,http://diginetica.com
3,Data Scientist middle+/Senior,250000.0,350000.0,руб.,https://hh.ru/vacancy/77208642?from=vacancy_search_list&query=Data+scientist,
4,Data Scientist (удаленно),,,,https://hh.ru/vacancy/76655873?from=vacancy_search_list&query=Data+scientist,https://dataacquisition.ru
5,Data scientist,150000.0,300000.0,руб.,https://hh.ru/vacancy/74257661?from=vacancy_search_list&query=Data+scientist,https://azurdrive.ru/
6,Data Scientist /Специалист по работе с данными,,,,https://hh.ru/vacancy/77292055?from=vacancy_search_list&query=Data+scientist,https://www.dentsu.com
7,Аналитик данных (Data Scientist) / ML-разработчик,,,,https://hh.ru/vacancy/77223284?from=vacancy_search_list&query=Data+scientist,http://www.it-expertise.ru
8,Data Scientist,,,,https://hh.ru/vacancy/77075807?from=vacancy_search_list&query=Data+scientist,
9,Data scientist / Аналитик риск-моделей,120000.0,300000.0,руб.,https://hh.ru/vacancy/77181469?from=vacancy_search_list&query=Data+scientist,http://www.webbankir.com
10,Data Scientist,,,,https://hh.ru/vacancy/77199776?from=vacancy_search_list&query=Data+scientist,
11,Data Scientist,,,,https://hh.ru/vacancy/77239094?from=vacancy_search_list&query=Data+scientist,http://www.wildberries.ru
12,Data Scientist,,,,https://hh.ru/vacancy/77217750?from=vacancy_search_list&query=Data+scientist,
13,Senior Data Scientist,,350000.0,руб.,https://hh.ru/vacancy/73387970?from=vacancy_search_list&query=Data+scientist,
14,Middle data scientist / исследователь,,,,https://hh.ru/vacancy/76996360?from=vacancy_search_list&query=Data+scientist,https://udv.dev/
15,Data Scientist (TTS),,,,https://hh.ru/vacancy/76968586?from=vacancy_search_list&query=Data+scientist,https://just-ai.com
16,АККРЕДИТОВАННАЯ КОМПАНИЯ Data Scientist / Python разработчик,,,,https://hh.ru/vacancy/48411370?from=vacancy_search_list&query=Data+scientist,http://www.zuzex.com
17,Data Analyst/Data Scientist,,,,https://hh.ru/vacancy/77229186?from=vacancy_search_list&query=Data+scientist,https://lifetech.by/
18,Эконометрист/Data scientist (Junior/Middle) в консалтинг,40000.0,,руб.,https://hh.ru/vacancy/75546364?from=vacancy_search_list&query=Data+scientist,http://bst-mc.com
19,Data Scientist / Аналитик,,,,https://hh.ru/vacancy/77232985?from=vacancy_search_list&query=Data+scientist,
20,Lead data scientist,300000.0,350000.0,руб.,https://hh.ru/vacancy/76815796?from=vacancy_search_list&query=Data+scientist,http://www.drom.ru
21,Data Scientist,,,,https://hh.ru/vacancy/76165484?from=vacancy_search_list&query=Data+scientist,
22,Data scientist,,,,https://hh.ru/vacancy/76934468?from=vacancy_search_list&query=Data+scientist,https://kamazdigital.ru/
23,Data Scientist (Валидация моделей кредитного риска КИБ),,,,https://hh.ru/vacancy/77125627?from=vacancy_search_list&query=Data+scientist,
24,Data Scientist / Специалист по работе с искусственным интеллектом,,,,https://hh.ru/vacancy/69379894?from=vacancy_search_list&query=Data+scientist,https://tele-med.ai/
25,Junior/Middle Data Scientist SberData,,,,https://hh.ru/vacancy/76911900?from=vacancy_search_list&query=Data+scientist,
26,Data Scientist,,,,https://hh.ru/vacancy/76963121?from=vacancy_search_list&query=Data+scientist,http://www.rabota.ru
27,Data Scientist ядра CVM,,,,https://hh.ru/vacancy/76169521?from=vacancy_search_list&query=Data+scientist,
28,Middle / Senior Data Scientist (Computer Vision),,,,https://hh.ru/vacancy/77128896?from=vacancy_search_list&query=Data+scientist,
29,Data Scientist (to Montenegro),,,,https://hh.ru/vacancy/77129897?from=vacancy_search_list&query=Data+scientist,http://hunt4you.ru
30,Data Scientist (Middle),,,,https://hh.ru/vacancy/73254242?from=vacancy_search_list&query=Data+scientist,
31,Data engineer\analyst (развитие источников данных Big Data),,,,https://hh.ru/vacancy/68958646?from=vacancy_search_list&query=Data+scientist,
32,Data Scientist (Computer Vision) / Middle,100000.0,,руб.,https://hh.ru/vacancy/69999884?from=vacancy_search_list&query=Data+scientist,
33,Data Scientist (Computer Vision),,,,https://hh.ru/vacancy/75656293?from=vacancy_search_list&query=Data+scientist,
34,"Data scientist в ""Кошелек клиента""",,,,https://hh.ru/vacancy/77033226?from=vacancy_search_list&query=Data+scientist,
35,Data scientist (Ценообразование),,,,https://hh.ru/vacancy/76974214?from=vacancy_search_list&query=Data+scientist,
36,Data Scientist (в медицине),,,,https://hh.ru/vacancy/75891518?from=vacancy_search_list&query=Data+scientist,http://www.cspmz.ru
37,Mid/Mid+ Data Scientist,,,,https://hh.ru/vacancy/76396688?from=vacancy_search_list&query=Data+scientist,http://www.platformaofd.ru
38,Data Analyst (DA)/Data Engineer (DE),,,,https://hh.ru/vacancy/77137743?from=vacancy_search_list&query=Data+scientist,
39,Data scientist (Middle),,,,https://hh.ru/vacancy/77067906?from=vacancy_search_list&query=Data+scientist,
40,Специалист по углубленной аналитике данных (Data scientist),,,,https://hh.ru/vacancy/72920605?from=vacancy_search_list&query=Data+scientist,
41,Senior Data Scientist в направление продаж,,,,https://hh.ru/vacancy/77184846?from=vacancy_search_list&query=Data+scientist,
42,Data scientist (Антиспам),,,,https://hh.ru/vacancy/73595622?from=vacancy_search_list&query=Data+scientist,
43,Data Scientist (middle/senior),,400000.0,руб.,https://hh.ru/vacancy/70163749?from=vacancy_search_list&query=Data+scientist,http://rubbles.ru
44,Senior Data Scientist в направление продаж,,,,https://hh.ru/vacancy/77184851?from=vacancy_search_list&query=Data+scientist,
45,Chief Data Scientist / DS Team Lead,,,,https://hh.ru/vacancy/75959822?from=vacancy_search_list&query=Data+scientist,
46,Аналитик данных / Data Scientist (Middle),140000.0,200000.0,руб.,https://hh.ru/vacancy/73052685?from=vacancy_search_list&query=Data+scientist,http://www.drom.ru
47,Senior Data Scientist (Лимасол/Ереван),,,,https://hh.ru/vacancy/76829230?from=vacancy_search_list&query=Data+scientist,http://companyclick.ru
48,Senior data scientist,,,,https://hh.ru/vacancy/75619237?from=vacancy_search_list&query=Data+scientist,
49,Аналитик данных / Data Scientist (Middle),140000.0,200000.0,руб.,https://hh.ru/vacancy/73052704?from=vacancy_search_list&query=Data+scientist,http://www.drom.ru
50,Программист C++ (Data scientist),,,,https://hh.ru/vacancy/76225469?from=vacancy_search_list&query=Data+scientist,http://www.pkavt.ru
51,"Data scientist, Цены и анализ конкурентов, Матчинг",,,,https://hh.ru/vacancy/76845266?from=vacancy_search_list&query=Data+scientist,
52,"Data scientist (junior/middle), команда разработки портфельных моделей",,,,https://hh.ru/vacancy/73577736?from=vacancy_search_list&query=Data+scientist,
53,Data Scientist Lead в команду online-оценка коммерческой недвижимости,,,,https://hh.ru/vacancy/77151542?from=vacancy_search_list&query=Data+scientist,
54,Senior Data Scientist,,,,https://hh.ru/vacancy/77074394?from=vacancy_search_list&query=Data+scientist,
