_id,announce_date,announce_location,announce_mileage,announce_model,announce_name,announce_price,announce_url,announce_year
63fbfe46ccdf5a44439ca7e4,25 февраля 2023 г.,"Ташкент, Юнусабадский район",Пробег: 90 000 км,Модель: Nexia,"Некся 3, механика, 2020, межикари бор, автокредитгаям сотилади.","[""12 000"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/neksya-3-mehanika-2020-mezhikari-bor-avtokreditgayam-sotiladi-ID39NzB.html,Год выпуска: 2020 
63fbfe4dccdf5a44439ca7e5,26 февраля 2023 г.,Дустабад,Пробег: 335 000 км,Модель: Nexia,Нексия 2 Донс 1.6 простой гидравлика,"[""7 000"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/neksiya-2-dons-1-6-prostoy-gidravlika-ID3aieZ.html,Год выпуска: 2014 
63fbfe51ccdf5a44439ca7e6,26 февраля 2023 г.,"Ташкент, Алмазарский район",Пробег: 25 000 км,Модель: Trailblazer,Trablazer 2020 Toza Qora,"[""33 000"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/trablazer-2020-toza-qora-ID39YL1.html,Год выпуска: 2020 
63fbfe54ccdf5a44439ca7e7,26 февраля 2023 г.,"Ташкент, Сергелийский район",Пробег: 777 777 км,Модель: 2102,Vaz 2102 Jiguli sotiladi,"[""1 500"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/vaz-2102-jiguli-sotiladi-ID2J6dy.html,Год выпуска: 1973 
63fbfe57ccdf5a44439ca7e8,26 февраля 2023 г.,"Ташкент, Чиланзарский район",Пробег: 27 000 км,Модель: Nexia,Продаю свою некию 3,"[""13 900"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/prodayu-svoyu-nekiyu-3-ID3aif7.html,Год выпуска: 2019 
63fbfe5bccdf5a44439ca7e9,26 февраля 2023 г.,"Ташкент, Шайхантахурский район",Пробег: 210 000 км,Модель: Corolla,Tayota Carrola Серый,"[""11 700"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/tayota-carrola-seryy-ID3aif2.html,Год выпуска: 2007 
63fbfe5eccdf5a44439ca7ea,26 февраля 2023 г.,"Ташкент, Бектемирский район",Пробег: 40 000 км,Модель: Nexia,Nexia 2 dons  1.6 2015,"[""7 800"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/nexia-2-dons-1-6-2015-ID3aif8.html,Год выпуска: 2015 
63fbfe60ccdf5a44439ca7eb,Сегодня в 00:01,Коксарай,Пробег: 8 000 км,Модель: Cobalt,Cobalt full 2022 avtomat,"[""14 500"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/cobalt-full-2022-avtomat-ID3aifH.html,Год выпуска: 2022 
63fbfe64ccdf5a44439ca7ec,Сегодня в 00:01,"Ташкент, Учтепинский район",Пробег: 45 000 км,Модель: Lacetti,Lacetti 2017 avtomat,"[""13 200"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/lacetti-2017-avtomat-ID3aig1.html,Год выпуска: 2017 
63fbfe67ccdf5a44439ca7ed,Сегодня в 00:01,Карши,Пробег: 50 км,Модель: Lacetti,Жинтра  2 пазиция,"[""16 800"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/zhintra-2-pazitsiya-ID3aigw.html,Год выпуска: 2023 
63fbfe6bccdf5a44439ca7ee,Сегодня в 00:05,Мирабад,Пробег: 19 500 км,Модель: Cobalt,Продам Cobalt в идеальном состоянии,"[""15 500"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/prodam-cobalt-v-idealnom-sostoyanii-ID3agMS.html,Год выпуска: 2022 
63fbfe6fccdf5a44439ca7ef,24 февраля 2023 г.,"Ташкент, Мирзо-Улугбекский район",Пробег: 230 000 км,Модель: Spark,Спарк аренда с выкупом,"[""8 500"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/spark-arenda-s-vykupom-ID38wFf.html,Год выпуска: 2016 
63fbfe74ccdf5a44439ca7f0,26 февраля 2023 г.,"Ташкент, Алмазарский район",Пробег: 0,Модель: Damas,Damas 2023 Arenda 10190  NASIYA savdo,"[""10 190"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/damas-2023-arenda-10190-nasiya-savdo-ID37wa3.html,Год выпуска: 2023 
63fbfe78ccdf5a44439ca7f1,23 февраля 2023 г.,"Ташкент, Алмазарский район",Пробег: 97 000 км,Модель: Lacetti,Жентра (Elegant plus A/T),"[""15 300"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/zhentra-elegant-plus-a-t-ID3a29W.html,Год выпуска: 2019 
63fbfe7bccdf5a44439ca7f2,Сегодня в 00:08,"Ташкент, Сергелийский район",null,Модель: Прочее,Новинка! Changan Unik люкс,"[""50 000"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/novinka-changan-unik-lyuks-ID2Ttv0.html,Год выпуска: 2022 
63fbfe7fccdf5a44439ca7f3,Сегодня в 00:10,"Ташкент, Сергелийский район",Пробег: 10 км,Модель: Прочее,"CHANGAN минивэн 9-мест, люкс","[""14 200"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/changan-miniven-9-mest-lyuks-ID2N526.html,Год выпуска: 2022 
63fbfe82ccdf5a44439ca7f4,Сегодня в 00:10,"Ташкент, Сергелийский район",null,Модель: Прочее,Новинка! Changan Unik,"[""49 500"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/novinka-changan-unik-ID2TtzD.html,Год выпуска: 2022 
63fbfe86ccdf5a44439ca7f5,Сегодня в 00:10,Карши,Пробег: 10 км,Модель: Lacetti,Jentra Avtomat STAYL 2023y Avtokredit Istalgan Usulda Sotiladi,"[""213 000 000"","" "",""сум""]",https://www.olx.uz/d/obyavlenie/jentra-avtomat-stayl-2023y-avtokredit-istalgan-usulda-sotiladi-ID36aKI.html,Год выпуска: 2023 
63fbfe89ccdf5a44439ca7f6,Сегодня в 00:11,"Ташкент, Учтепинский район",Пробег: 244 500 км,Модель: Spark,Spark 2013 yil 244500 probeg,"[""8 300"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/spark-2013-yil-244500-probeg-ID34gCC.html,Год выпуска: 2013 
63fbfe8dccdf5a44439ca7f7,Сегодня в 00:11,Навои,Пробег: 8 000 км,Модель: Lacetti,Мошина узимники. Jentra 8200 прабег халол 2022 май,"[""18 000"","" "",""у.е.""]",https://www.olx.uz/d/obyavlenie/moshina-uzimniki-jentra-8200-prabeg-halol-2022-may-ID37Y2o.html,Год выпуска: 2022 
