,vacance_name,salary_min,salary_max,salary_curr,href,source
0,Инженер-программист АСУТП,110000.0,,₽,https://www.superjob.ru/vakansii/inzhener-programmist-asutp-44887309.html,https://www.koehl-spb.ru
1,Инженер-программист,,,,https://www.superjob.ru/vakansii/inzhener-programmist-45691266.html,https://www.alrosa.ru
2,"Инженер АСУ, КИПиА",90000.0,,₽,https://www.superjob.ru/vakansii/inzhener-asu-45670588.html,http://zavodkomax.ru
3,Инженер-проектировщик по автоматизации,100000.0,,₽,https://www.superjob.ru/vakansii/inzhener-proektirovschik-po-avtomatizacii-45659262.html,http://www.thermocool-group.ru
4,Инженер АСУТП,,,₽,https://www.superjob.ru/vakansii/inzhener-asutp-45227392.html,http://www.gutagroup.ru
5,Ведущий инженер-программист АСУ ТП,,,,https://www.superjob.ru/vakansii/veduschij-inzhener-programmist-asu-tp-45830413.html,http://www.szma.com
6,Ведущий инженер по АСУТП,80000.0,,₽,https://www.superjob.ru/vakansii/veduschij-inzhener-po-asutp-44541953.html,http://www.lsrgroup.ru
7,Инженер-программист АСУ ТП,80000.0,,₽,https://www.superjob.ru/vakansii/inzhener-programmist-asu-tp-45668219.html,http://ssmnu-58.ru
8,Инженер проектировщик электроснабжения и автоматизация,45000.0,75000.0,₽,https://www.superjob.ru/vakansii/inzhener-proektirovschik-elektrosnabzheniya-i-avtomatizaciya-45764755.html,http://www.termo-tehnologia.ru
9,Инженер по автоматизации и механизации производственных процессов,,,₽,https://www.superjob.ru/vakansii/inzhener-po-avtomatizacii-i-mehanizacii-proizvodstvennyh-processov-45716166.html,http://www.eztm.pro
10,Инженер АСУТП,,,,https://www.superjob.ru/vakansii/inzhener-asutp-45595458.html,http://www.russdragmet.ru
11,Инженер-проектировщик АСУ ТП,,,₽,https://www.superjob.ru/vakansii/inzhener-proektirovschik-asu-tp-43493029.html,http://www.mos-gaz.ru
12,Инженер-программист АСУ ТП,65000.0,70000.0,₽,https://www.superjob.ru/vakansii/inzhener-programmist-asu-tp-45715216.html,http://www.bpa.ru
13,Инженер-проектировщик АСУ ТП,50000.0,60000.0,₽,https://www.superjob.ru/vakansii/inzhener-proektirovschik-asu-tp-45664082.html,http://bitrb.ru
14,Инженер по автоматизации систем управления,95000.0,,₽,https://www.superjob.ru/vakansii/inzhener-po-avtomatizacii-sistem-upravleniya-45713130.html,https://npf-specmash.ru
15,Ведущий инженер-аппаратчик по автоматизации и диспетчеризации,,,,https://www.superjob.ru/vakansii/veduschij-inzhener-apparatchik-po-avtomatizacii-i-dispetcherizacii-44332917.html,http://job.mts.ru
16,Инженер АСУТП,90000.0,,₽,https://www.superjob.ru/vakansii/inzhener-asutp-45720676.html,http://www.milk35.ru
17,"Ведущий инженер по КИПиА, АСУТП и метрологии",56000.0,59000.0,₽,https://www.superjob.ru/vakansii/veduschij-inzhener-po-kipia-45825415.html,
18,Инженер отдела АСУ,25000.0,,₽,https://www.superjob.ru/vakansii/inzhener-otdela-asu-45612838.html,http://www.medupk.ru
19,Инженер АСУ ТП,80000.0,,₽,https://www.superjob.ru/vakansii/inzhener-asu-tp-45812211.html,http://microtermplus.ru
20,Инженер-механик (ОСУ и АСУ ТП) с опытом в бурении,,,₽,https://www.superjob.ru/vakansii/inzhener-mehanik-45768512.html,http://www.engsdrilling.ru
21,Инженер-стажер АСУТП КИП,40000.0,,₽,https://www.superjob.ru/vakansii/inzhener-stazher-asutp-kip-44386520.html,http://www.atm-tech.ru
22,"Инженер АСУ, КИП",70000.0,,₽,https://www.superjob.ru/vakansii/inzhener-asu-45708916.html,http://www.inok.spb.ru
23,Инженер АСУ ТП (со знанием основ электротехники),,,,https://www.superjob.ru/vakansii/inzhener-asu-tp-35816928.html,http://www.pnpi.spb.ru
24,Инженер АСУТП,,,,https://www.superjob.ru/vakansii/inzhener-asutp-44929761.html,http://acron.ru
25,Инженер АСУ,65000.0,75000.0,₽,https://www.superjob.ru/vakansii/inzhener-asu-45816772.html,http://www.mariin.ru
26,Ведущий инженер по автоматизации,,86800.0,₽,https://www.superjob.ru/vakansii/veduschij-inzhener-po-avtomatizacii-44491590.html,http://www.ochakovo.ru
27,Инженер АСУП,,,₽,https://www.superjob.ru/vakansii/inzhener-asup-45814769.html,http://gp4surgut.ru
28,Инженер АСУТП,120000.0,,₽,https://www.superjob.ru/vakansii/inzhener-asutp-45560766.html,https://latam-engineering.ru
29,Инженер АСУТП,,,,https://www.superjob.ru/vakansii/inzhener-asutp-45751670.html,http://www.aleksinkarton.ru
30,Инженер-наладчик АСУ,,,,https://www.superjob.ru/vakansii/inzhener-naladchik-asu-30027984.html,http://www.etsystem.ru
31,Инженер-проектировщик АСУТП,,,₽,https://www.superjob.ru/vakansii/inzhener-proektirovschik-asutp-43155565.html,
32,Инженер автоматизации технологических процессов,40000.0,,₽,https://www.superjob.ru/vakansii/inzhener-avtomatizacii-tehnologicheskih-processov-45558307.html,
33,Ведущий инженер АСУ ТП,60000.0,,₽,https://www.superjob.ru/vakansii/veduschij-inzhener-asu-tp-33483343.html,http://www.elmeh.ru
34,Инженер АСУТП,,,,https://www.superjob.ru/vakansii/inzhener-asutp-45605030.html,http://www.plypan.com
35,Ведущий инженер АСУТП,,105000.0,₽,https://www.superjob.ru/vakansii/veduschij-inzhener-asutp-45557668.html,
36,Инженер АСУ ТП,75000.0,,₽,https://www.superjob.ru/vakansii/inzhener-asu-tp-44872220.html,http://www.baikalpearl.com
37,Инженер-программист АСУ ТП,100000.0,,₽,https://www.superjob.ru/vakansii/inzhener-programmist-asu-tp-29879186.html,http://www.tn.ru
38,Инженер автоматизированных систем управления технологическими процессами АСУ ТП,,,,https://www.superjob.ru/vakansii/inzhener-avtomatizirovannyh-sistem-upravleniya-tehnologicheskimi-processami-asu-tp-45703829.html,
39,Инженер-программист АСУ ТП,,,,https://www.superjob.ru/vakansii/inzhener-programmist-asu-tp-35460476.html,http://www.agregatnpo.ru
40,Инженер АСУТП 1-ой категории,50000.0,,₽,https://www.superjob.ru/vakansii/inzhener-asutp-1-oj-kategorii-44698199.html,http://www.gutagroup.ru
41,Инженер АСУТП,,,,https://www.superjob.ru/vakansii/inzhener-asutp-43737226.html,http://www.russdragmet.ru
42,Инженер по автоматизации,90000.0,,₽,https://www.superjob.ru/vakansii/inzhener-po-avtomatizacii-43311002.html,http://www.milk35.ru
43,Ведущий инженер АСУТП КИП,80000.0,,₽,https://www.superjob.ru/vakansii/veduschij-inzhener-asutp-kip-44081624.html,http://www.atm-tech.ru
44,Инженер строительного контроля (Автоматизированные системы управления (АСУ) и слаботочные системы),,,,https://www.superjob.ru/vakansii/inzhener-stroitelnogo-kontrolya-45794081.html,https://www.ugmk.com
